cliente_id,fecha,producto_id,categoria,cantidad,precio_unitario,descuento
1001,2024-01-15,P001,Electrónicos,2,299.99,0.1
1002,2024-01-16,P002,Ropa,1,89.50,0.0
1003,2024-01-17,P003,Hogar,3,45.00,0.15
1004,2024-01-18,P004,Electrónicos,1,599.99,0.05
1005,2024-01-19,P005,Deportes,2,125.00,0.2
1001,2024-01-20,P006,Ropa,1,75.99,0.0
1006,2024-01-21,P007,Hogar,1,189.99,0.1
1007,2024-01-22,P008,Electrónicos,1,899.99,0.0
1008,2024-01-23,P009,Ropa,3,45.00,0.25
1002,2024-01-24,P010,Deportes,1,89.99,0.1
1009,2024-01-25,P011,Hogar,2,67.50,0.0
1010,2024-01-26,P012,Electrónicos,1,329.99,0.15
1003,2024-01-27,P013,Ropa,2,55.99,0.1
1011,2024-01-28,P014,Deportes,1,199.99,0.0
1012,2024-01-29,P015,Hogar,1,445.00,0.2
1004,2024-01-30,P016,Electrónicos,1,159.99,0.05
1013,2024-02-01,P017,Ropa,4,29.99,0.3
1014,2024-02-02,P018,Deportes,1,349.99,0.1
1005,2024-02-03,P019,Hogar,2,78.99,0.0
1015,2024-02-04,P020,Electrónicos,1,1299.99,0.0
1016,2024-02-05,P021,Ropa,1,119.99,0.15
1006,2024-02-06,P022,Deportes,2,75.50,0.2
1017,2024-02-07,P023,Hogar,1,234.99,0.1
1018,2024-02-08,P024,Electrónicos,3,89.99,0.25
1007,2024-02-09,P025,Ropa,1,95.00,0.0
1019,2024-02-10,P026,Deportes,1,189.99,0.05
1020,2024-02-11,P027,Hogar,2,156.50,0.1
1008,2024-02-12,P028,Electrónicos,1,445.99,0.0
1021,2024-02-13,P029,Ropa,2,67.99,0.2
1009,2024-02-14,P030,Deportes,1,299.99,0.15
1022,2024-02-15,P031,Hogar,1,89.99,0.0
1010,2024-02-16,P032,Electrónicos,2,199.99,0.1
1023,2024-02-17,P033,Ropa,3,39.99,0.25
1024,2024-02-18,P034,Deportes,1,449.99,0.0
1011,2024-02-19,P035,Hogar,1,279.99,0.05
1025,2024-02-20,P036,Electrónicos,1,799.99,0.1
1012,2024-02-21,P037,Ropa,2,85.50,0.0
1026,2024-02-22,P038,Deportes,1,129.99,0.2
1027,2024-02-23,P039,Hogar,3,45.99,0.15
1013,2024-02-24,P040,Electrónicos,1,569.99,0.0
1028,2024-02-25,P041,Ropa,1,149.99,0.1
1014,2024-02-26,P042,Deportes,2,89.99,0.25
1029,2024-02-27,P043,Hogar,1,345.00,0.0
1015,2024-02-28,P044,Electrónicos,1,229.99,0.15
1030,2024-03-01,P045,Ropa,4,25.99,0.3
1016,2024-03-02,P046,Deportes,1,379.99,0.05
1031,2024-03-03,P047,Hogar,2,123.50,0.1
1017,2024-03-04,P048,Electrónicos,1,999.99,0.0
1032,2024-03-05,P049,Ropa,1,78.99,0.2
1018,2024-03-06,P050,Deportes,1,199.99,0.1
